,circom_time,circom_mem,ezkl_time,ezkl_mem,model_params,circom_constrs,ezkl_rows,opml_time,circom_op_time,ezkl_op_time
1,0 days 00:04:38.800000,85446120,0 days 00:00:33.200000,2869864,320,11378432,184408,0 days 00:00:00.040334380,0 days 00:04:38.840334380,0 days 00:00:33.240334380
2,0 days 00:08:44.180000,129358852,0 days 00:00:36.450000,2857136,320,16867552,224968,0 days 00:00:00.039514066,0 days 00:08:44.219514066,0 days 00:00:36.489514066
3,0 days 00:10:16.600000,136911572,0 days 00:03:08.110000,22516096,18816,23101472,1373720,0 days 00:00:00.039434895,0 days 00:10:16.639434895,0 days 00:03:08.149434895
4,0 days 00:10:50.140000,138164812,0 days 00:03:08.130000,22510672,18816,24725472,1385048,0 days 00:00:00.039542312,0 days 00:10:50.179542312,0 days 00:03:08.169542312
7,0 days 00:11:04.880000,137595576,0 days 00:03:11.770000,22512552,34826,24741472,1392273,0 days 00:00:00,0 days 00:11:04.880000,0 days 00:03:11.770000
